date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-16,21,0.057534246575342465,78,0.1645211402112759,-0.5476544940446827,3.0,0.007671970112142765
2023-02-16,22,0.06027397260273973,143,0.16564630393583588,-0.5481392967498345,2.9933751398807633,0.007238737364139761
2023-02-16,25,0.0684931506849315,100,0.16149962275789825,-0.5394318685656309,2.6816336261975646,0.005214574320230566
2023-02-16,26,0.07123287671232877,75,0.17001064436537994,-0.5022637376012512,2.44080406610837,0.007634009271811731
2023-02-16,27,0.07397260273972603,85,0.1723763800245934,-0.5609957267562949,2.2432624403755277,0.006094708284209733
2023-02-16,28,0.07671232876712329,56,0.17078746318836047,-0.5809895748652336,2.8058809219403718,0.007345103472723022
2023-02-16,29,0.07945205479452055,599,0.15858521782316604,-0.4430368723864733,3.0,0.020226685699309764
2023-02-16,32,0.08767123287671233,89,0.16699264242825768,-0.5652892584662612,2.385930868194252,0.004484517262579207
2023-02-16,33,0.09041095890410959,56,0.1687643932278806,-0.5660183061571086,2.245125287707451,0.005585430342535202
2023-02-16,36,0.09863013698630137,153,0.1786334062087665,-0.6201111268542282,2.2817772413206594,0.0047843941125944095
2023-02-16,43,0.1178082191780822,351,0.16882655179740225,-0.5883324046567121,2.34146871127718,0.009816382265465287
2023-02-16,57,0.15616438356164383,97,0.17488098632583504,-0.6511758570331262,2.0452642915021757,0.005108692585946412
2023-02-16,64,0.17534246575342466,577,0.16510302114926362,-0.642623756683142,2.2973843056223813,0.013807391905910703
2023-02-16,71,0.19452054794520549,291,0.16033730631306753,-0.6020477748643521,2.308034391133997,0.01624138011914064
2023-02-16,92,0.25205479452054796,518,0.1736874614865361,-0.65602310027629,1.750238296836662,0.007246187086357961
2023-02-16,104,0.28493150684931506,163,0.17423276432520893,-0.6822348116720343,1.5575992000184193,0.0046618659798431375
2023-02-16,120,0.3287671232876712,481,0.1777143300206379,-0.6883443705474332,1.5084051487215766,0.005633433514028649
2023-02-16,134,0.36712328767123287,322,0.17416925994797625,-0.6604129424644659,1.528005985021036,0.007133156616358253
2023-02-16,155,0.4246575342465753,413,0.16002234924968664,-0.6274604334574395,1.7772452557104583,0.029974102555261475
2023-02-16,165,0.4520547945205479,126,0.17251271427208056,-0.6435372104068082,1.5018681133701048,0.010156456664507417
2023-02-16,183,0.5013698630136987,123,0.1781543800284553,-0.7161944544957157,1.2963375009579268,0.006036458899216487
2023-02-17,5,0.0136986301369863,73,0.12652191934303503,0.1,3.0,0.03915389824024733
2023-02-17,6,0.01643835616438356,127,0.16589755653439037,-0.3359509426282113,3.0,0.07163974975769015
2023-02-17,7,0.019178082191780823,162,0.16196856566046341,-0.19010002018202168,3.0,0.035682813571805895
2023-02-17,10,0.0273972602739726,102,0.13339135380357448,-0.12246158445945668,3.0,0.022461142508935765
2023-02-17,11,0.030136986301369864,159,0.1364384110573764,-0.08041462117628255,3.0,0.02727305543881583
2023-02-17,12,0.03287671232876712,100,0.14274218606021982,-0.3332898613824728,3.0,0.013730051861816504
2023-02-17,13,0.03561643835616438,106,0.1493738547979195,-0.27737038036942185,3.0,0.019112174208236903
2023-02-17,14,0.038356164383561646,151,0.1484913985343228,-0.40448327400737266,3.0,0.013179633584840618
2023-02-17,17,0.04657534246575343,109,0.1407107955084842,-0.36777670071018137,2.942662703664201,0.013338508476860212
2023-02-17,18,0.049315068493150684,86,0.14823089594767153,-0.3548196576443952,3.0,0.013588130295757804
2023-02-17,19,0.052054794520547946,93,0.15428896942720963,-0.45906323860479126,2.6093556368128166,0.009004444339712724
2023-02-17,20,0.0547945205479452,90,0.15719878649011101,-0.4168863341271588,2.5817347551175605,0.011819668053859816
2023-02-17,21,0.057534246575342465,143,0.16044418622711304,-0.474141339837153,2.60316888880836,0.011725351444983226
2023-02-17,24,0.06575342465753424,100,0.15675001798095548,-0.4626403322252559,2.339000326346097,0.011670213207977563
2023-02-17,25,0.0684931506849315,75,0.16550215379353653,-0.417660805472181,2.112277136824602,0.012545990693861723
2023-02-17,26,0.07123287671232877,94,0.16878087545748827,-0.5212369948416682,1.9785097532453566,0.010355328873993548
2023-02-17,27,0.07397260273972603,79,0.169631010941132,-0.4579679757843627,2.1481188138609006,0.009902410493089528
2023-02-17,28,0.07671232876712329,599,0.14620233999841992,-0.32470351637815575,2.9187751330240834,0.027354253317674635
2023-02-17,31,0.08493150684931507,98,0.16380867647319358,-0.5056953614402313,2.113189250747319,0.00802762323678309
2023-02-17,32,0.08767123287671233,56,0.1645501212941603,-0.5033798385767886,2.126708841120473,0.008031630459620303
2023-02-17,33,0.09041095890410959,65,0.17814049411172017,-0.6721074324683332,3.0,0.06025567554418069
2023-02-17,35,0.0958904109589041,153,0.17578204292828653,-0.6137375166985143,2.1915244212331686,0.00574689366661893
2023-02-17,42,0.11506849315068493,351,0.16739938009901917,-0.5660842248157187,2.203332801054959,0.012612811974748806
2023-02-17,56,0.15342465753424658,97,0.17536641629435082,-0.6713407221442282,1.8455904052506862,0.0060844529846768875
2023-02-17,63,0.1726027397260274,577,0.16281095550326335,-0.6241144169304894,2.2177948105322427,0.017793566126393948
2023-02-17,70,0.1917808219178082,291,0.16228220066475418,-0.621604463051485,2.1595569177272975,0.012648680130279864
2023-02-17,91,0.2493150684931507,518,0.17316055384088067,-0.6453800979781462,1.664341657512513,0.011079549243649178
2023-02-17,103,0.2821917808219178,164,0.1670913555080498,-0.6444648624607922,1.7270825480347534,0.009388913760514855
2023-02-17,119,0.32602739726027397,482,0.17657772801739238,-0.6812618014184041,1.469271960368096,0.007236445418173491
2023-02-17,133,0.3643835616438356,322,0.16415588441226114,-0.589328075627286,1.7075917902848252,0.01546821867320072
2023-02-17,154,0.42191780821917807,414,0.1636821929029119,-0.6369797562431944,1.6503826565730186,0.02900038975122995
2023-02-17,164,0.44931506849315067,126,0.17112601113157277,-0.6368258097455385,1.5076926051752706,0.016563119868410293
2023-02-17,182,0.4986301369863014,123,0.1795966972458869,-0.7191793175843614,1.2282134062087111,0.00452607986832996
2023-02-21,2,0.005479452054794521,86,0.2677049690294631,0.1,3.0,0.12909405792665088
2023-02-21,3,0.00821917808219178,112,0.24948141180189295,0.1,3.0,0.08231769892663272
2023-02-21,6,0.01643835616438356,97,0.181361847088976,-0.037478816948843835,3.0,0.03892291799521973
2023-02-21,7,0.019178082191780823,150,0.18552965799572657,0.09046688425399309,3.0,0.0450048024434021
2023-02-21,8,0.021917808219178082,99,0.1893717214248215,-0.3634810330848068,3.0,0.022823139869963358
2023-02-21,9,0.024657534246575342,99,0.19067020516966718,-0.2604146555146674,3.0,0.03318561598345935
2023-02-21,10,0.0273972602739726,132,0.1969247159006817,-0.4567914454350166,3.0,0.021468379192888725
2023-02-21,13,0.03561643835616438,107,0.178527018471004,-0.46966550553061964,3.0,0.016338403826357283
2023-02-21,14,0.038356164383561646,83,0.18261833644050712,-0.39493227310359535,3.0,0.01952103289903901
2023-02-21,15,0.0410958904109589,90,0.1873314240712282,-0.5246545684563382,3.0,0.01031645389773815
2023-02-21,16,0.043835616438356165,85,0.18867597909074482,-0.49845583348911154,3.0,0.01171697756446397
2023-02-21,17,0.04657534246575343,138,0.19311356555068362,-0.5388380433865084,3.0,0.012561769354633932
2023-02-21,20,0.0547945205479452,97,0.1838570062523156,-0.5559504102475485,2.9907647883882342,0.009062641562699428
2023-02-21,21,0.057534246575342465,74,0.19256088235465518,-0.5317773545894463,2.819217743920581,0.01013929101259955
2023-02-21,22,0.06027397260273973,94,0.19591006100950992,-0.5854497361252733,2.63228537386921,0.00792914829039448
2023-02-21,23,0.06301369863013699,77,0.19644888117895723,-0.5719970049249743,2.841019967786801,0.00804834736654294
2023-02-21,24,0.06575342465753424,558,0.184186977020197,-0.3976363586462819,3.0,0.029279461442271573
2023-02-21,27,0.07397260273972603,96,0.18818204446042902,-0.5657321949776063,2.494964694337701,0.008280387841001557
